mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.036083221435546875,0.007043460058612644,0.028548574447631835,0.002181615012758477,euclidean,15,1,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7485207100591716,0.7396449704142012,0.7781065088757396,0.7566765578635015,0.7655786350148368,0.7577054764454901,0.013340084221653177,79
0.04498066902160645,0.00578927391021455,0.028163576126098634,0.005079104034598029,euclidean,15,1,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7692307692307693,0.7869822485207101,0.8076923076923077,0.8011869436201781,0.7893175074183977,0.7908819552964725,0.013230342400525485,70
0.04119868278503418,0.0027882218232208075,0.025715208053588866,0.002202117263909715,euclidean,15,2,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.7485207100591716,0.7396449704142012,0.7781065088757396,0.7566765578635015,0.7655786350148368,0.7577054764454901,0.013340084221653177,79
0.03912167549133301,0.0029258486592566154,0.027150058746337892,0.004188918943082077,euclidean,15,2,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7692307692307693,0.7869822485207101,0.8076923076923077,0.8011869436201781,0.7893175074183977,0.7908819552964725,0.013230342400525485,70
0.04273719787597656,0.00867051309339797,0.02490715980529785,0.0009927105058198128,euclidean,21,1,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7337278106508875,0.6923076923076923,0.7633136094674556,0.7388724035608308,0.7270029673590505,0.7310448966691834,0.0229200606959119,82
0.03705754280090332,0.006426484989046815,0.027972841262817384,0.005160562079721389,euclidean,21,1,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7544378698224852,0.7544378698224852,0.8224852071005917,0.7833827893175074,0.7596439169139466,0.7748775305954032,0.02610154301558586,76
0.03911232948303223,0.007238073725402612,0.025716543197631836,0.002583217116497488,euclidean,21,2,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.7337278106508875,0.6923076923076923,0.7633136094674556,0.7388724035608308,0.7270029673590505,0.7310448966691834,0.0229200606959119,82
0.03796110153198242,0.006340540228281778,0.024776411056518555,0.0011409571698548602,euclidean,21,2,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7544378698224852,0.7544378698224852,0.8224852071005917,0.7833827893175074,0.7596439169139466,0.7748775305954032,0.02610154301558586,76
0.03701648712158203,0.005027048037909581,0.029147529602050783,0.0061504387193046205,manhattan,3,1,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8757396449704142,0.893491124260355,0.8875739644970414,0.8902077151335311,0.8694362017804155,0.8832897301283514,0.009156480289646258,10
0.036783885955810544,0.003487667087253389,0.03216547966003418,0.006605958089297895,manhattan,3,1,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8846153846153846,0.8964497041420119,0.893491124260355,0.8783382789317508,0.8694362017804155,0.8844661387459836,0.00988461581000369,4
0.04155950546264649,0.0050046189468668754,0.03144636154174805,0.00404780705701202,manhattan,3,2,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8757396449704142,0.893491124260355,0.8875739644970414,0.8902077151335311,0.8694362017804155,0.8832897301283514,0.009156480289646258,10
0.036400556564331055,0.0031066621412843046,0.02798738479614258,0.003248039447095307,manhattan,3,2,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8846153846153846,0.8964497041420119,0.893491124260355,0.8783382789317508,0.8694362017804155,0.8844661387459836,0.00988461581000369,4
0.041483068466186525,0.002853165524341807,0.03040919303894043,0.005828256814842955,manhattan,5,1,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8757396449704142,0.8727810650887574,0.893491124260355,0.8783382789317508,0.8605341246290801,0.8761768475760714,0.010591253265040098,16
0.04294281005859375,0.0077139289056324944,0.03285679817199707,0.004625221687914541,manhattan,5,1,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.878698224852071,0.8816568047337278,0.9112426035502958,0.8961424332344213,0.8694362017804155,0.8874352536301864,0.014671720402790411,1
0.03900575637817383,0.003138177984453604,0.02741532325744629,0.0020110004288253253,manhattan,5,2,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8757396449704142,0.8727810650887574,0.893491124260355,0.8783382789317508,0.8605341246290801,0.8761768475760714,0.010591253265040098,16
0.0323333740234375,0.0023726708050467713,0.029973363876342772,0.0035001624676798027,manhattan,5,2,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.878698224852071,0.8816568047337278,0.9112426035502958,0.8961424332344213,0.8694362017804155,0.8874352536301864,0.014671720402790411,1
